country,year,sex,cause,age_group,death,
Canada,2008,total,I019,0,0,
Canada,2008,total,I020,0,0,
Canada,2008,total,I021,0,0,
Canada,2008,total,I022,0,2.06,
Canada,2008,total,I023,0,11.3,
Canada,2008,total,I024,0,7.2,
Canada,2008,total,I025,0,1.03,
Canada,2008,total,I026,0,33.9,
Canada,2008,total,I027,0,0,
Canada,2008,total,I028,0,0,
Canada,2008,total,I029,0,0,
Canada,2008,total,I030,0,42.09,
Canada,2008,total,I031,0,0,
Canada,2008,total,I032,0,0,
Canada,2008,total,I033,0,0,
Canada,2008,total,I034,0,23.610000000000000,
Canada,2008,total,I035,0,12.33,
Canada,2008,total,I036,0,1.03,
Canada,2008,total,I037,0,0,
Canada,2008,total,I038,0,0,
Canada,2008,total,I039,0,6.160000000000000,
Canada,2008,total,I040,0,2.05,
Canada,2008,total,I041,0,1.03,
Canada,2008,total,I042,0,8.210000000000000,
Canada,2008,total,I043,0,0,
Canada,2008,total,I044,0,0,
Canada,2008,total,I045,0,12.3,
Canada,2008,total,I046,0,1.03,
Canada,2008,total,I047,0,2.05,
Canada,2008,total,I048,0,5.13,
Canada,2008,total,I049,0,0,
Canada,2008,total,I050,0,1231.49,
Canada,2008,total,I051,0,425.88,
Canada,2008,total,I052,0,2.05,
Canada,2008,total,I053,0,34.93,
Canada,2008,total,I054,0,0,
Canada,2008,total,I055,0,8.210000000000000,
Canada,2008,total,I056,0,3.08,
Canada,2008,total,I057,0,0,
Canada,2008,total,I058,0,50.98,
Canada,2009,total,I000,0,1872,
Canada,2009,total,I001,0,5.120000000000000,
Canada,2009,total,I002,0,0,
Canada,2009,total,I003,0,11.27,
Canada,2009,total,I004,0,0,
Canada,2009,total,I005,0,0,
Canada,2009,total,I006,0,15.370000000000000,
Canada,2009,total,I007,0,0,
Canada,2009,total,I008,0,0,
Canada,2009,total,I009,0,0,
Canada,2009,total,I010,0,0,
Canada,2009,total,I011,0,0,
Canada,2009,total,I012,0,1.03,
Canada,2009,total,I013,0,0,
Canada,2009,total,I014,0,1.02,
Canada,2009,total,I015,0,0,
Canada,2009,total,I016,0,0,
Canada,2009,total,I017,0,0,
Canada,2009,total,I018,0,0,
Canada,2009,total,I019,0,0,
Canada,2009,total,I020,0,0,
Canada,2009,total,I021,0,1.03,
Canada,2009,total,I022,0,3.07,
Canada,2009,total,I023,0,8.2,
Canada,2009,total,I024,0,13.32,
Canada,2009,total,I025,0,0,
Canada,2009,total,I026,0,19.47,
Canada,2009,total,I027,0,0,
Canada,2009,total,I028,0,0,
Canada,2009,total,I029,0,0,
Canada,2009,total,I030,0,51.260000000000000,
Canada,2009,total,I031,0,0,
Canada,2009,total,I032,0,1.02,
Canada,2009,total,I033,0,1.02,
Canada,2009,total,I034,0,22.55,
Canada,2009,total,I035,0,3.07,
Canada,2009,total,I036,0,1.03,
Canada,2009,total,I037,0,5.13,
Canada,2009,total,I038,0,0,
Canada,2009,total,I039,0,9.220000000000000,
Canada,2009,total,I040,0,1.02,
Canada,2009,total,I041,0,1.03,
Canada,2009,total,I042,0,10.25,
Canada,2009,total,I043,0,0,
Canada,2009,total,I044,0,1.03,
Canada,2009,total,I045,0,5.120000000000000,
Canada,2009,total,I046,0,0,
Canada,2009,total,I047,0,2.05,
Canada,2009,total,I048,0,1.03,
Canada,2009,total,I049,0,0,
Canada,2009,total,I050,0,1207.7,
Canada,2009,total,I051,0,430.61,
Canada,2009,total,I052,0,4.1,
Canada,2009,total,I053,0,26.66,
Canada,2009,total,I054,0,0,
